Zaman,Dosya,Kural,Icerik
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:22:38.792432-05:00 kali sudo: pam_unix(sudo:session): session opened for user root(uid=0) by drk(uid=0)
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:22:38.792432-05:00 kali sudo: pam_unix(sudo:session): session opened for user root(uid=0) by drk(uid=0)
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:23:26.222492-05:00 kali sudo: pam_unix(sudo:session): session closed for user root
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:23:26.222492-05:00 kali sudo: pam_unix(sudo:session): session closed for user root
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:23:43.813287-05:00 kali sudo:     root : TTY=pts/1 ; PWD=/home/drk/Desktop/samet_duruk_log_projesi ; USER=root ; COMMAND=/usr/bin/docker run -it -v /var/log:/var/log samet_duruk_log_projesi
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:23:43.813287-05:00 kali sudo:     root : TTY=pts/1 ; PWD=/home/drk/Desktop/samet_duruk_log_projesi ; USER=root ; COMMAND=/usr/bin/docker run -it -v /var/log:/var/log samet_duruk_log_projesi
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:23:43.814148-05:00 kali sudo: pam_unix(sudo:session): session opened for user root(uid=0) by drk(uid=0)
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:23:43.814148-05:00 kali sudo: pam_unix(sudo:session): session opened for user root(uid=0) by drk(uid=0)
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:23:49.839061-05:00 kali sudo: pam_unix(sudo:session): session closed for user root
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:23:49.839061-05:00 kali sudo: pam_unix(sudo:session): session closed for user root
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:25:04.193056-05:00 kali CRON[45254]: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:25:04.212901-05:00 kali CRON[45254]: pam_unix(cron:session): session closed for user root
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:25:18.907151-05:00 kali sudo:     root : TTY=pts/1 ; PWD=/home/drk/Desktop/samet_duruk_log_projesi ; USER=root ; COMMAND=/usr/bin/docker build -t samet_duruk_log_projesi .
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:25:18.907151-05:00 kali sudo:     root : TTY=pts/1 ; PWD=/home/drk/Desktop/samet_duruk_log_projesi ; USER=root ; COMMAND=/usr/bin/docker build -t samet_duruk_log_projesi .
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:25:18.907818-05:00 kali sudo: pam_unix(sudo:session): session opened for user root(uid=0) by drk(uid=0)
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:25:18.907818-05:00 kali sudo: pam_unix(sudo:session): session opened for user root(uid=0) by drk(uid=0)
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:25:21.111321-05:00 kali sudo: pam_unix(sudo:session): session closed for user root
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:25:21.111321-05:00 kali sudo: pam_unix(sudo:session): session closed for user root
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:25:22.927031-05:00 kali sudo:     root : TTY=pts/1 ; PWD=/home/drk/Desktop/samet_duruk_log_projesi ; USER=root ; COMMAND=/usr/bin/docker run -it -v /var/log:/var/log samet_duruk_log_projesi
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:25:22.927031-05:00 kali sudo:     root : TTY=pts/1 ; PWD=/home/drk/Desktop/samet_duruk_log_projesi ; USER=root ; COMMAND=/usr/bin/docker run -it -v /var/log:/var/log samet_duruk_log_projesi
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:25:22.927118-05:00 kali sudo: pam_unix(sudo:session): session opened for user root(uid=0) by drk(uid=0)
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:25:22.927118-05:00 kali sudo: pam_unix(sudo:session): session opened for user root(uid=0) by drk(uid=0)
Sat Jan 31 17:59:25 2026,/var/log/auth.log,failed,2026-01-31T05:25:40.413712-05:00 kali unix_chkpwd[45719]: password check failed for user (drk)
Sat Jan 31 17:59:25 2026,/var/log/auth.log,password,2026-01-31T05:25:40.413712-05:00 kali unix_chkpwd[45719]: password check failed for user (drk)
Sat Jan 31 17:59:25 2026,/var/log/auth.log,failure,2026-01-31T05:25:40.414120-05:00 kali sudo: pam_unix(sudo:auth): authentication failure; logname=drk uid=1000 euid=0 tty=/dev/pts/2 ruser=drk rhost=  user=drk
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:25:40.414120-05:00 kali sudo: pam_unix(sudo:auth): authentication failure; logname=drk uid=1000 euid=0 tty=/dev/pts/2 ruser=drk rhost=  user=drk
Sat Jan 31 17:59:25 2026,/var/log/auth.log,failed,2026-01-31T05:27:41.820907-05:00 kali unix_chkpwd[46737]: password check failed for user (drk)
Sat Jan 31 17:59:25 2026,/var/log/auth.log,password,2026-01-31T05:27:41.820907-05:00 kali unix_chkpwd[46737]: password check failed for user (drk)
Sat Jan 31 17:59:25 2026,/var/log/auth.log,failed,2026-01-31T05:27:43.459656-05:00 kali unix_chkpwd[46748]: password check failed for user (drk)
Sat Jan 31 17:59:25 2026,/var/log/auth.log,password,2026-01-31T05:27:43.459656-05:00 kali unix_chkpwd[46748]: password check failed for user (drk)
Sat Jan 31 17:59:25 2026,/var/log/auth.log,incorrect,2026-01-31T05:27:45.557130-05:00 kali sudo:      drk : 3 incorrect password attempts ; TTY=pts/2 ; PWD=/home/drk ; USER=root ; COMMAND=k
Sat Jan 31 17:59:25 2026,/var/log/auth.log,password,2026-01-31T05:27:45.557130-05:00 kali sudo:      drk : 3 incorrect password attempts ; TTY=pts/2 ; PWD=/home/drk ; USER=root ; COMMAND=k
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:27:45.557130-05:00 kali sudo:      drk : 3 incorrect password attempts ; TTY=pts/2 ; PWD=/home/drk ; USER=root ; COMMAND=k
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:27:45.557130-05:00 kali sudo:      drk : 3 incorrect password attempts ; TTY=pts/2 ; PWD=/home/drk ; USER=root ; COMMAND=k
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:32:17.043041-05:00 kali sudo:      drk : TTY=pts/4 ; PWD=/home/drk ; USER=root ; COMMAND=/usr/bin/su
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:32:17.043041-05:00 kali sudo:      drk : TTY=pts/4 ; PWD=/home/drk ; USER=root ; COMMAND=/usr/bin/su
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:32:17.073316-05:00 kali sudo: pam_unix(sudo:session): session opened for user root(uid=0) by drk(uid=1000)
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:32:17.073316-05:00 kali sudo: pam_unix(sudo:session): session opened for user root(uid=0) by drk(uid=1000)
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:32:17.084473-05:00 kali su[48470]: (to root) root on pts/5
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:32:17.085950-05:00 kali su[48470]: pam_unix(su:session): session opened for user root(uid=0) by drk(uid=0)
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:32:17.416689-05:00 kali sudo: pam_unix(sudo:session): session closed for user root
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:32:17.416689-05:00 kali sudo: pam_unix(sudo:session): session closed for user root
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:32:30.991069-05:00 kali sudo:     root : TTY=pts/1 ; PWD=/home/drk/Desktop/samet_duruk_log_projesi ; USER=root ; COMMAND=/usr/bin/docker run -it -v /var/log:/var/log -v /home/drk/Desktop/samet_duruk_log_projesi:/app samet_duruk_log_projesi
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:32:30.991069-05:00 kali sudo:     root : TTY=pts/1 ; PWD=/home/drk/Desktop/samet_duruk_log_projesi ; USER=root ; COMMAND=/usr/bin/docker run -it -v /var/log:/var/log -v /home/drk/Desktop/samet_duruk_log_projesi:/app samet_duruk_log_projesi
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:32:30.991302-05:00 kali sudo: pam_unix(sudo:session): session opened for user root(uid=0) by drk(uid=0)
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:32:30.991302-05:00 kali sudo: pam_unix(sudo:session): session opened for user root(uid=0) by drk(uid=0)
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:35:01.150861-05:00 kali CRON[49997]: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:35:01.190736-05:00 kali CRON[49997]: pam_unix(cron:session): session closed for user root
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:39:19.646274-05:00 kali CRON[50529]: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:39:19.684043-05:00 kali CRON[50529]: pam_unix(cron:session): session closed for user root
Sat Jan 31 17:59:25 2026,/var/log/auth.log,failed,2026-01-31T05:42:43.058957-05:00 kali xfce4-screensaver-dialog: pam_unix(xfce4-screensaver:account): setuid failed: Operation not permitted
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:45:01.678811-05:00 kali CRON[52379]: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:45:01.705526-05:00 kali CRON[52379]: pam_unix(cron:session): session closed for user root
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:45:59.616671-05:00 kali sudo: pam_unix(sudo:session): session closed for user root
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:45:59.616671-05:00 kali sudo: pam_unix(sudo:session): session closed for user root
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:46:04.591845-05:00 kali sudo:     root : TTY=pts/1 ; PWD=/home/drk/Desktop/samet_duruk_log_projesi ; USER=root ; COMMAND=/usr/bin/docker build -t samet_duruk_log_projesi .
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:46:04.591845-05:00 kali sudo:     root : TTY=pts/1 ; PWD=/home/drk/Desktop/samet_duruk_log_projesi ; USER=root ; COMMAND=/usr/bin/docker build -t samet_duruk_log_projesi .
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:46:04.592088-05:00 kali sudo: pam_unix(sudo:session): session opened for user root(uid=0) by drk(uid=0)
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:46:04.592088-05:00 kali sudo: pam_unix(sudo:session): session opened for user root(uid=0) by drk(uid=0)
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:46:29.277335-05:00 kali sudo: pam_unix(sudo:session): session closed for user root
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:46:29.277335-05:00 kali sudo: pam_unix(sudo:session): session closed for user root
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:46:50.942903-05:00 kali sudo:     root : TTY=pts/1 ; PWD=/home/drk/Desktop/samet_duruk_log_projesi ; USER=root ; COMMAND=/usr/bin/docker run -it -v /var/log:/var/log -v /home/drk/Desktop/samet_duruk_log_projesi:/app samet_duruk_log_projesi
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:46:50.942903-05:00 kali sudo:     root : TTY=pts/1 ; PWD=/home/drk/Desktop/samet_duruk_log_projesi ; USER=root ; COMMAND=/usr/bin/docker run -it -v /var/log:/var/log -v /home/drk/Desktop/samet_duruk_log_projesi:/app samet_duruk_log_projesi
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:46:50.943266-05:00 kali sudo: pam_unix(sudo:session): session opened for user root(uid=0) by drk(uid=0)
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:46:50.943266-05:00 kali sudo: pam_unix(sudo:session): session opened for user root(uid=0) by drk(uid=0)
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:46:53.174234-05:00 kali sudo: pam_unix(sudo:session): session closed for user root
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:46:53.174234-05:00 kali sudo: pam_unix(sudo:session): session closed for user root
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:47:58.044327-05:00 kali sudo:     root : TTY=pts/1 ; PWD=/home/drk/Desktop/samet_duruk_log_projesi ; USER=root ; COMMAND=/usr/bin/docker build -t samet_duruk_log_projesi .
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:47:58.044327-05:00 kali sudo:     root : TTY=pts/1 ; PWD=/home/drk/Desktop/samet_duruk_log_projesi ; USER=root ; COMMAND=/usr/bin/docker build -t samet_duruk_log_projesi .
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:47:58.066308-05:00 kali sudo: pam_unix(sudo:session): session opened for user root(uid=0) by drk(uid=0)
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:47:58.066308-05:00 kali sudo: pam_unix(sudo:session): session opened for user root(uid=0) by drk(uid=0)
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:47:59.340895-05:00 kali sudo: pam_unix(sudo:session): session closed for user root
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:47:59.340895-05:00 kali sudo: pam_unix(sudo:session): session closed for user root
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:48:00.937281-05:00 kali sudo:     root : TTY=pts/1 ; PWD=/home/drk/Desktop/samet_duruk_log_projesi ; USER=root ; COMMAND=/usr/bin/docker run -it -v /var/log:/var/log -v /home/drk/Desktop/samet_duruk_log_projesi:/app samet_duruk_log_projesi
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:48:00.937281-05:00 kali sudo:     root : TTY=pts/1 ; PWD=/home/drk/Desktop/samet_duruk_log_projesi ; USER=root ; COMMAND=/usr/bin/docker run -it -v /var/log:/var/log -v /home/drk/Desktop/samet_duruk_log_projesi:/app samet_duruk_log_projesi
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:48:00.938029-05:00 kali sudo: pam_unix(sudo:session): session opened for user root(uid=0) by drk(uid=0)
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:48:00.938029-05:00 kali sudo: pam_unix(sudo:session): session opened for user root(uid=0) by drk(uid=0)
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:49:01.534994-05:00 kali su[48470]: pam_unix(su:session): session closed for user root
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:49:01.537713-05:00 kali sudo: pam_unix(sudo:session): session closed for user root
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:49:01.537713-05:00 kali sudo: pam_unix(sudo:session): session closed for user root
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:49:01.834451-05:00 kali sudo: pam_unix(sudo:session): session closed for user root
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:49:01.834451-05:00 kali sudo: pam_unix(sudo:session): session closed for user root
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:49:05.827676-05:00 kali sudo:     root : TTY=pts/1 ; PWD=/home/drk/Desktop/samet_duruk_log_projesi ; USER=root ; COMMAND=/usr/bin/docker run -it -v /var/log:/var/log -v /home/drk/Desktop/samet_duruk_log_projesi:/app samet_duruk_log_projesi
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:49:05.827676-05:00 kali sudo:     root : TTY=pts/1 ; PWD=/home/drk/Desktop/samet_duruk_log_projesi ; USER=root ; COMMAND=/usr/bin/docker run -it -v /var/log:/var/log -v /home/drk/Desktop/samet_duruk_log_projesi:/app samet_duruk_log_projesi
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:49:05.829253-05:00 kali sudo: pam_unix(sudo:session): session opened for user root(uid=0) by drk(uid=0)
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:49:05.829253-05:00 kali sudo: pam_unix(sudo:session): session opened for user root(uid=0) by drk(uid=0)
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:49:26.051250-05:00 kali sudo: pam_unix(sudo:session): session closed for user root
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:49:26.051250-05:00 kali sudo: pam_unix(sudo:session): session closed for user root
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:49:27.865634-05:00 kali sudo:     root : TTY=pts/1 ; PWD=/home/drk/Desktop/samet_duruk_log_projesi ; USER=root ; COMMAND=/usr/bin/docker run -it -v /var/log:/var/log -v /home/drk/Desktop/samet_duruk_log_projesi:/app samet_duruk_log_projesi
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:49:27.865634-05:00 kali sudo:     root : TTY=pts/1 ; PWD=/home/drk/Desktop/samet_duruk_log_projesi ; USER=root ; COMMAND=/usr/bin/docker run -it -v /var/log:/var/log -v /home/drk/Desktop/samet_duruk_log_projesi:/app samet_duruk_log_projesi
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:49:27.866933-05:00 kali sudo: pam_unix(sudo:session): session opened for user root(uid=0) by drk(uid=0)
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:49:27.866933-05:00 kali sudo: pam_unix(sudo:session): session opened for user root(uid=0) by drk(uid=0)
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:51:37.418889-05:00 kali sudo:      drk : TTY=pts/3 ; PWD=/home/drk/Desktop/samet_duruk_log_projesi ; USER=root ; COMMAND=/usr/bin/apt install textual
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:51:37.418889-05:00 kali sudo:      drk : TTY=pts/3 ; PWD=/home/drk/Desktop/samet_duruk_log_projesi ; USER=root ; COMMAND=/usr/bin/apt install textual
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:51:37.419758-05:00 kali sudo: pam_unix(sudo:session): session opened for user root(uid=0) by drk(uid=1000)
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:51:37.419758-05:00 kali sudo: pam_unix(sudo:session): session opened for user root(uid=0) by drk(uid=1000)
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:51:37.660336-05:00 kali sudo: pam_unix(sudo:session): session closed for user root
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:51:37.660336-05:00 kali sudo: pam_unix(sudo:session): session closed for user root
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:51:37.934343-05:00 kali sudo: pam_unix(sudo:session): session closed for user root
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:51:37.934343-05:00 kali sudo: pam_unix(sudo:session): session closed for user root
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:53:41.012178-05:00 kali sudo:      drk : TTY=pts/3 ; PWD=/home/drk/Desktop/samet_duruk_log_projesi ; USER=root ; COMMAND=/usr/bin/pip install textual --break-system-packages
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:53:41.012178-05:00 kali sudo:      drk : TTY=pts/3 ; PWD=/home/drk/Desktop/samet_duruk_log_projesi ; USER=root ; COMMAND=/usr/bin/pip install textual --break-system-packages
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:53:41.035439-05:00 kali sudo: pam_unix(sudo:session): session opened for user root(uid=0) by drk(uid=1000)
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:53:41.035439-05:00 kali sudo: pam_unix(sudo:session): session opened for user root(uid=0) by drk(uid=1000)
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:53:45.822442-05:00 kali sudo: pam_unix(sudo:session): session closed for user root
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:53:45.822442-05:00 kali sudo: pam_unix(sudo:session): session closed for user root
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:54:01.834060-05:00 kali sudo:      drk : TTY=pts/3 ; PWD=/home/drk/Desktop/samet_duruk_log_projesi ; USER=root ; COMMAND=/usr/bin/python3 main.py
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:54:01.834060-05:00 kali sudo:      drk : TTY=pts/3 ; PWD=/home/drk/Desktop/samet_duruk_log_projesi ; USER=root ; COMMAND=/usr/bin/python3 main.py
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:54:01.836954-05:00 kali sudo: pam_unix(sudo:session): session opened for user root(uid=0) by drk(uid=1000)
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:54:01.836954-05:00 kali sudo: pam_unix(sudo:session): session opened for user root(uid=0) by drk(uid=1000)
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:54:01.883742-05:00 kali sudo: pam_unix(sudo:session): session closed for user root
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:54:01.883742-05:00 kali sudo: pam_unix(sudo:session): session closed for user root
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:55:01.867293-05:00 kali CRON[57684]: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:55:01.889613-05:00 kali CRON[57684]: pam_unix(cron:session): session closed for user root
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:56:12.249243-05:00 kali sudo:      drk : TTY=pts/2 ; PWD=/home/drk ; USER=root ; COMMAND=/usr/bin/python3 -m pip install textual --break-system-packages
